Location,county,IndexYear,Population,Total,Rate,PrsnTotal,PrsnRate,Murder,Manslaughter,Forcible_Sex,Assault,Non_Forcible_Sex,Kidnapping_Abduction,Human_Trafficking,Viol_Of_No_Contact,PrprtyTotal,PrprtyRate,Arson,Bribery,Burglary,Counterfeiting_Forgery,Destruction_of_Property,Extortion_Blackmail,Robbery,Theft,SctyTotal,SctyRate,Drug_Violations,Gambling_Violations,Pornography,Prostitution,Weapon_Law_Violation,Animal_Cruelty
COUNTY TOTAL,FERRY,2012,7650.0,121,15.8,55,7.2,1,0,4,47,0,0,0,3.0,58,7.6,1,0,14,0,7,0,0,36.0,8,1,7,0,0,0,1,0
COUNTY TOTAL,FERRY,2013,7650.0,128,16.7,57,7.5,0,0,6,43,0,0,0,8.0,68,8.9,0,0,28,1,4,0,5,30.0,3,0.4,2,0,0,0,1,0
COUNTY TOTAL,FERRY,2014,7660.0,162,21.1,83,10.8,0,0,4,68,2,0,0,9.0,51,6.7,1,0,17,1,3,0,0,29.0,28,3.7,27,0,0,0,1,0
COUNTY TOTAL,FERRY,2015,7710.0,108,14.0,59,7.7,0,0,2,51,0,0,0,6.0,44,5.7,0,0,15,2,6,0,2,19.0,5,0.6,4,0,0,0,1,0
COUNTY TOTAL,FERRY,2016,6610.0,25,3.8,15,2.3,0,0,4,11,0,0,0,0.0,10,1.5,1,0,5,0,0,0,0,4.0,0,0,0,0,0,0,0,0
COUNTY TOTAL,FERRY,2017,6645.0,65,9.8,36,5.4,0,0,3,33,0,0,0,0.0,27,4.1,0,0,5,1,4,0,0,17.0,2,0.3,2,0,0,0,0,0
COUNTY TOTAL,FERRY,2018,6680.0,110,16.5,71,10.6,0,0,8,55,1,0,0,7.0,35,5.2,1,0,8,2,2,0,0,22.0,4,0.6,4,0,0,0,0,0
COUNTY TOTAL,FERRY,2019,7830.0,90,11.5,47,6,0,0,10,34,0,0,0,3.0,36,4.6,0,0,6,0,1,0,1,28.0,7,0.9,6,0,0,0,1,0
COUNTY TOTAL,FERRY,2020,7910.0,130,16.4,76,9.6,0,1,2,52,1,0,0,20.0,48,6.1,1,0,5,0,0,0,0,42.0,6,0.8,5,0,0,0,1,0
COUNTY TOTAL,FERRY,2021,8000.0,72,9.0,50,6.3,0,0,4,32,0,0,0,14.0,20,2.5,1,0,2,0,0,0,0,17.0,2,0.3,1,0,0,0,1,0
Ferry County Sheriffs Office,FERRY,2012,6565.0,76,11.6,38,5.788271135,1,0,3,33,0,0,0,1.0,35,5.331302361,1,0,9,0,4,0,0,21.0,3,0.456968774,2,0,0,0,1,0
Ferry County Sheriffs Office,FERRY,2013,6555.0,82,12.5,35,5.339435545,0,0,6,26,0,0,0,3.0,46,7.01754386,0,0,25,0,2,0,0,19.0,1,0.152555301,0,0,0,0,1,0
Ferry County Sheriffs Office,FERRY,2014,6560.0,78,11.9,40,6.097560976,0,0,2,34,0,0,0,4.0,32,4.87804878,0,0,15,0,2,0,0,15.0,6,0.914634146,6,0,0,0,0,0
Ferry County Sheriffs Office,FERRY,2015,6620.0,65,9.8,28,4.2296073,0,0,1,23,0,0,0,4.0,33,4.9848943,0,0,12,1,4,0,0,16.0,4,0.6042296,3,0,0,0,1,0
Ferry County Sheriffs Office,FERRY,2016,6610.0,25,3.8,15,2.269288956,0,0,4,11,0,0,0,0.0,10,1.512859304,1,0,5,0,0,0,0,4.0,0,0,0,0,0,0,0,0
Ferry County Sheriffs Office,FERRY,2017,6645.0,65,9.8,36,5.417607223,0,0,3,33,0,0,0,0.0,27,4.063205418,0,0,5,1,4,0,0,17.0,2,0.300978179,2,0,0,0,0,0
Ferry County Sheriffs Office,FERRY,2018,6680.0,110,16.5,71,10.62874251,0,0,8,55,1,0,0,7.0,35,5.239520958,1,0,8,2,2,0,0,22.0,4,0.598802395,4,0,0,0,0,0
Ferry County Sheriffs Office,FERRY,2019,7830.0,90,11.5,47,6.002554278,0,0,10,34,0,0,0,3.0,36,4.597701149,0,0,6,0,1,0,1,28.0,7,0.893997446,6,0,0,0,1,0
Ferry County Sheriffs Office,FERRY,2020,7910.0,130,16.4,76,9.608091024,0,1,2,52,1,0,0,20.0,48,6.068268015,1,0,5,0,0,0,0,42.0,6,0.758533502,5,0,0,0,1,0
Ferry County Sheriffs Office,FERRY,2021,8000.0,72,9.0,50,6.25,0,0,4,32,0,0,0,14.0,20,2.5,1,0,2,0,0,0,0,17.0,2,0.25,1,0,0,0,1,0
Republic Police Department,FERRY,2012,1085.0,45,41.5,17,15.66820276,0,0,1,14,0,0,0,2.0,23,21.19815668,0,0,5,0,3,0,0,15.0,5,4.608294931,5,0,0,0,0,0
Republic Police Department,FERRY,2013,1095.0,46,42.0,22,20.0913242,0,0,0,17,0,0,0,5.0,22,20.0913242,0,0,3,1,2,0,5,11.0,2,1.826484018,2,0,0,0,0,0
Republic Police Department,FERRY,2014,1100.0,84,76.4,43,39.09090909,0,0,2,34,2,0,0,5.0,19,17.27272727,1,0,2,1,1,0,0,14.0,22,20,21,0,0,0,1,0
Republic Police Department,FERRY,2015,1090.0,43,39.4,31,28.440367,0,0,1,28,0,0,0,2.0,11,10.0917431,0,0,3,1,2,0,2,3.0,1,0.9174312,1,0,0,0,0,0
COUNTY TOTAL,FRANKLIN,2012,82500.0,5219,63.3,1308,15.9,1,0,132,892,3,30,0,250.0,3245,39.3,11,0,520,56,800,2,46,1810.0,666,8.1,546,0,5,9,106,0
COUNTY TOTAL,FRANKLIN,2013,84800.0,4879,57.5,1332,15.7,2,1,115,941,1,34,0,238.0,3131,36.9,23,0,446,51,809,7,31,1764.0,416,4.9,326,0,4,4,82,0
COUNTY TOTAL,FRANKLIN,2014,86600.0,4509,52.1,1287,14.9,5,0,109,918,5,29,0,221.0,2735,31.6,23,1,352,37,672,2,33,1615.0,487,5.6,399,1,4,5,78,0
COUNTY TOTAL,FRANKLIN,2015,88261.0,4672,52.9,1315,14.9,5,0,124,909,4,27,0,246.0,2819,31.9,37,0,370,49,715,2,40,1606.0,538,6.1,440,0,4,12,82,0
COUNTY TOTAL,FRANKLIN,2016,88678.0,4933,55.6,1207,13.6,2,0,113,853,11,6,0,222.0,3118,35.2,25,0,380,68,809,2,37,1797.0,608,6.9,503,0,8,8,89,0
COUNTY TOTAL,FRANKLIN,2017,90330.0,4964,55.0,1406,15.6,1,0,99,996,8,20,0,282.0,2908,32.2,22,1,310,55,743,12,45,1720.0,650,7.2,529,0,11,9,95,6
COUNTY TOTAL,FRANKLIN,2018,92545.0,4842,52.3,1510,16.3,5,0,141,1085,2,15,1,261.0,2662,28.8,19,0,284,66,692,6,39,1556.0,670,7.2,531,0,17,9,109,4
COUNTY TOTAL,FRANKLIN,2019,94680.0,4977,52.6,1389,14.7,2,2,136,945,5,29,0,270.0,2864,30.2,16,0,254,55,766,4,46,1723.0,724,7.6,585,0,13,3,118,5
COUNTY TOTAL,FRANKLIN,2020,96760.0,4937,51.0,1225,12.7,4,0,113,809,4,27,0,268.0,3170,32.8,30,0,289,45,733,12,63,1998.0,542,5.6,441,0,15,1,79,6
COUNTY TOTAL,FRANKLIN,2021,99510.0,4661,46.8,1254,12.6,5,1,123,868,1,12,0,244.0,3101,31.2,15,0,329,47,822,14,45,1829.0,306,3.1,184,0,18,0,99,5
Connell Police Department,FRANKLIN,2012,5320.0,201,37.8,69,12.96992481,0,0,4,48,0,2,0,15.0,101,18.98496241,0,0,14,1,51,0,2,33.0,31,5.827067669,23,0,1,0,7,0
Connell Police Department,FRANKLIN,2013,5350.0,124,23.2,49,9.158878505,1,0,3,37,0,0,0,8.0,59,11.02803738,1,0,11,0,21,0,0,26.0,16,2.990654206,12,0,0,0,4,0
Connell Police Department,FRANKLIN,2014,5330.0,162,30.4,57,10.69418386,1,0,4,38,1,1,0,12.0,93,17.44840525,1,0,13,1,44,0,0,34.0,12,2.251407129,10,0,0,0,2,0
Connell Police Department,FRANKLIN,2015,5405.0,161,29.8,45,8.3256244,0,0,4,27,0,2,0,12.0,102,18.8714154,0,0,14,1,59,0,0,28.0,14,2.5901943,13,0,0,0,1,0
Connell Police Department,FRANKLIN,2016,5365.0,122,22.7,31,5.778191985,0,0,0,23,0,0,0,8.0,69,12.861137,1,0,8,1,27,0,0,32.0,22,4.100652377,19,0,0,0,3,0
Connell Police Department,FRANKLIN,2017,5450.0,134,24.6,69,12.66055046,0,0,6,42,0,2,0,19.0,55,10.09174312,0,0,8,0,25,0,1,21.0,10,1.834862385,8,0,0,0,2,0
Connell Police Department,FRANKLIN,2018,5460.0,126,23.1,47,8.608058608,0,0,2,36,0,0,0,9.0,66,12.08791209,0,0,7,1,34,0,0,24.0,13,2.380952381,10,0,0,0,3,0
Connell Police Department,FRANKLIN,2019,5500.0,154,28.0,58,10.54545455,0,0,5,37,0,1,0,15.0,76,13.81818182,0,0,16,0,23,1,0,36.0,20,3.636363636,13,0,1,0,6,0
Connell Police Department,FRANKLIN,2020,5500.0,95,17.3,41,7.454545455,0,0,4,28,2,1,0,6.0,46,8.363636364,0,0,5,1,16,0,0,24.0,8,1.454545455,5,0,1,0,1,1
Connell Police Department,FRANKLIN,2021,5275.0,71,13.5,31,5.876777251,0,0,5,19,0,0,0,7.0,34,6.44549763,0,0,9,0,10,0,0,15.0,6,1.137440758,6,0,0,0,0,0
Franklin County Sheriffs Office,FRANKLIN,2012,14510.0,573,39.5,134,9.235010338,0,0,19,88,1,0,0,26.0,345,23.77670572,0,0,71,3,73,0,2,196.0,94,6.478290834,77,0,1,2,14,0
Franklin County Sheriffs Office,FRANKLIN,2013,13850.0,484,34.9,124,8.953068592,1,0,8,85,0,1,0,29.0,307,22.16606498,7,0,53,3,64,0,2,178.0,53,3.826714801,38,0,1,1,13,0
Franklin County Sheriffs Office,FRANKLIN,2014,13500.0,412,30.5,117,8.666666667,0,0,9,83,1,5,0,19.0,240,17.77777778,5,0,30,1,67,1,2,134.0,55,4.074074074,33,0,0,0,22,0
Franklin County Sheriffs Office,FRANKLIN,2015,13505.0,505,37.4,157,11.625324,2,0,20,102,0,3,0,30.0,275,20.3628286,5,0,50,7,84,1,0,128.0,73,5.4054054,59,0,1,1,12,0
Franklin County Sheriffs Office,FRANKLIN,2016,12745.0,502,39.4,138,10.8277756,0,0,11,103,5,3,0,16.0,305,23.93095332,7,0,64,8,95,0,3,128.0,59,4.629266379,51,0,1,0,7,0
Franklin County Sheriffs Office,FRANKLIN,2017,13200.0,506,38.3,149,11.28787879,0,0,1,128,0,0,0,20.0,287,21.74242424,6,1,42,11,82,2,1,142.0,70,5.303030303,56,0,1,0,11,2
Franklin County Sheriffs Office,FRANKLIN,2018,13490.0,510,37.8,186,13.7879911,0,0,12,138,0,2,0,34.0,233,17.27205337,4,0,24,4,79,2,5,115.0,91,6.745737583,81,0,0,0,9,1
Franklin County Sheriffs Office,FRANKLIN,2019,13890.0,539,38.8,169,12.16702664,1,0,14,125,1,1,0,27.0,269,19.36645068,3,0,49,4,74,0,4,135.0,101,7.271418287,89,0,1,0,9,2
Franklin County Sheriffs Office,FRANKLIN,2020,14160.0,569,40.2,144,10.16949153,1,0,15,104,0,6,0,18.0,339,23.94067797,8,0,39,9,63,6,1,213.0,86,6.073446328,71,0,0,0,14,1
Franklin County Sheriffs Office,FRANKLIN,2021,14645.0,457,31.2,152,10.37896893,1,1,10,117,0,2,0,21.0,272,18.57289177,3,0,44,6,74,5,0,140.0,33,2.253328781,19,0,1,0,11,2
Pasco Police Department,FRANKLIN,2012,62670.0,4445,70.9,1105,17.63204085,1,0,109,756,2,28,0,209.0,2799,44.66251795,11,0,435,52,676,2,42,1581.0,541,8.632519547,446,0,3,7,85,0
Pasco Police Department,FRANKLIN,2013,65600.0,4271,65.1,1159,17.66768293,0,1,104,819,1,33,0,201.0,2765,42.14939024,15,0,382,48,724,7,29,1560.0,347,5.289634146,276,0,3,3,65,0
Pasco Police Department,FRANKLIN,2014,67770.0,3935,58.1,1113,16.4231961,4,0,96,797,3,23,0,190.0,2402,35.44341154,17,1,309,35,561,1,31,1447.0,420,6.197432492,356,1,4,5,54,0
Pasco Police Department,FRANKLIN,2015,69351.0,4006,57.8,1113,16.0487953,3,0,100,780,4,22,0,204.0,2442,35.2121815,32,0,306,41,572,1,40,1450.0,451,6.5031506,368,0,3,11,69,0
Pasco Police Department,FRANKLIN,2016,70568.0,4309,61.1,1038,14.70921664,2,0,102,727,6,3,0,198.0,2744,38.88448022,17,0,308,59,687,2,34,1637.0,527,7.467974153,433,0,7,8,79,0
Pasco Police Department,FRANKLIN,2017,71680.0,4324,60.3,1188,16.57366071,1,0,92,826,8,18,0,243.0,2566,35.79799107,16,0,260,44,636,10,43,1557.0,570,7.952008929,465,0,10,9,82,4
Pasco Police Department,FRANKLIN,2018,73595.0,4206,57.2,1277,17.35172226,5,0,127,911,2,13,1,218.0,2363,32.10815952,15,0,253,61,579,4,34,1417.0,566,7.69073986,440,0,17,9,97,3
Pasco Police Department,FRANKLIN,2019,75290.0,4284,56.9,1162,15.43365653,1,2,117,783,4,27,0,228.0,2519,33.45729845,13,0,189,51,669,3,42,1552.0,603,8.009031744,483,0,11,3,103,3
Pasco Police Department,FRANKLIN,2020,77100.0,4273,55.4,1040,13.48897536,3,0,94,677,2,20,0,244.0,2785,36.12191958,22,0,245,35,654,6,62,1761.0,448,5.810635538,365,0,14,1,64,4
Pasco Police Department,FRANKLIN,2021,79590.0,4133,51.9,1071,13.45646438,4,0,108,732,1,10,0,216.0,2795,35.11747707,12,0,276,41,738,9,45,1674.0,267,3.354692801,159,0,17,0,88,3
COUNTY TOTAL,GARFIELD,2012,2250.0,145,64.4,37,16.4,0,0,4,21,0,0,0,12.0,76,33.8,1,0,16,0,17,0,0,42.0,32,14.2,23,0,1,1,7,0
COUNTY TOTAL,GARFIELD,2013,2250.0,164,72.9,67,29.8,0,0,2,54,0,0,0,11.0,72,32,0,0,7,1,15,0,0,49.0,25,11.1,17,0,0,0,8,0
COUNTY TOTAL,GARFIELD,2014,2240.0,124,55.4,47,21,0,0,2,43,0,0,0,2.0,58,25.9,0,0,9,3,16,0,0,30.0,19,8.5,13,0,0,0,6,0
COUNTY TOTAL,GARFIELD,2015,2260.0,183,81.0,82,36.3,0,0,12,50,2,0,0,18.0,72,31.9,1,0,9,1,21,0,0,40.0,29,12.8,18,0,0,0,11,0
COUNTY TOTAL,GARFIELD,2016,2200.0,167,75.9,53,24.1,0,0,8,33,0,1,0,11.0,88,40,1,0,31,0,22,0,0,34.0,26,11.8,19,0,0,0,7,0
COUNTY TOTAL,GARFIELD,2017,2200.0,126,57.3,61,27.7,0,0,6,41,0,0,0,14.0,45,20.5,1,0,16,0,8,0,0,20.0,20,9.1,12,0,0,0,7,1
COUNTY TOTAL,GARFIELD,2018,2210.0,157,71.0,60,27.1,0,0,7,42,0,0,0,11.0,62,28.1,0,0,9,0,9,0,0,44.0,35,15.8,26,0,0,0,9,0
COUNTY TOTAL,GARFIELD,2019,2220.0,63,28.4,25,11.3,0,0,3,17,0,0,0,5.0,20,9,1,0,2,0,5,0,0,12.0,18,8.1,13,0,0,0,5,0
COUNTY TOTAL,GARFIELD,2020,2225.0,90,40.4,43,19.3,0,0,2,40,0,0,0,1.0,30,13.5,0,0,4,0,10,0,0,16.0,17,7.6,9,0,0,0,8,0
COUNTY TOTAL,GARFIELD,2021,2250.0,121,53.8,62,27.6,0,0,2,42,0,1,0,17.0,32,14.2,0,0,7,0,10,0,0,15.0,27,12,20,0,0,0,7,0
Garfield County Sheriffs Office,GARFIELD,2012,2250.0,145,64.4,37,16.44444444,0,0,4,21,0,0,0,12.0,76,33.77777778,1,0,16,0,17,0,0,42.0,32,14.22222222,23,0,1,1,7,0
Garfield County Sheriffs Office,GARFIELD,2013,2250.0,164,72.9,67,29.77777778,0,0,2,54,0,0,0,11.0,72,32,0,0,7,1,15,0,0,49.0,25,11.11111111,17,0,0,0,8,0
Garfield County Sheriffs Office,GARFIELD,2014,2240.0,124,55.4,47,20.98214286,0,0,2,43,0,0,0,2.0,58,25.89285714,0,0,9,3,16,0,0,30.0,19,8.482142857,13,0,0,0,6,0
Garfield County Sheriffs Office,GARFIELD,2015,2260.0,183,81.0,82,36.2831858,0,0,12,50,2,0,0,18.0,72,31.8584071,1,0,9,1,21,0,0,40.0,29,12.8318584,18,0,0,0,11,0
Garfield County Sheriffs Office,GARFIELD,2016,2200.0,167,75.9,53,24.09090909,0,0,8,33,0,1,0,11.0,88,40,1,0,31,0,22,0,0,34.0,26,11.81818182,19,0,0,0,7,0
Garfield County Sheriffs Office,GARFIELD,2017,2200.0,126,57.3,61,27.72727273,0,0,6,41,0,0,0,14.0,45,20.45454545,1,0,16,0,8,0,0,20.0,20,9.090909091,12,0,0,0,7,1
Garfield County Sheriffs Office,GARFIELD,2018,2210.0,157,71.0,60,27.14932127,0,0,7,42,0,0,0,11.0,62,28.05429864,0,0,9,0,9,0,0,44.0,35,15.83710407,26,0,0,0,9,0
Garfield County Sheriffs Office,GARFIELD,2019,2220.0,63,28.4,25,11.26126126,0,0,3,17,0,0,0,5.0,20,9.009009009,1,0,2,0,5,0,0,12.0,18,8.108108108,13,0,0,0,5,0
Garfield County Sheriffs Office,GARFIELD,2020,2225.0,90,40.4,43,19.3258427,0,0,2,40,0,0,0,1.0,30,13.48314607,0,0,4,0,10,0,0,16.0,17,7.640449438,9,0,0,0,8,0
Garfield County Sheriffs Office,GARFIELD,2021,2250.0,121,53.8,62,27.55555556,0,0,2,42,0,1,0,17.0,32,14.22222222,0,0,7,0,10,0,0,15.0,27,12,20,0,0,0,7,0
COUNTY TOTAL,GRANT,2012,85945.0,7418,86.3,1531,17.8,5,0,93,1174,6,22,0,231.0,5288,61.5,24,1,910,59,1221,2,49,3022.0,599,7,513,0,3,0,83,0
COUNTY TOTAL,GRANT,2013,90289.0,7515,83.2,1470,16.3,2,0,82,1151,3,21,0,211.0,5615,62.2,20,0,1029,86,1114,4,44,3318.0,430,4.8,333,0,5,0,92,0
COUNTY TOTAL,GRANT,2014,91371.0,7216,79.0,1564,17.1,3,0,66,1247,10,37,0,201.0,5130,56.1,25,0,880,82,1059,0,42,3042.0,522,5.7,439,0,4,0,79,0
COUNTY TOTAL,GRANT,2015,93930.0,7234,77.0,1476,15.7,4,0,67,1149,6,26,0,224.0,5271,56.1,26,1,938,54,1097,2,45,3108.0,487,5.2,420,0,1,1,65,0
COUNTY TOTAL,GRANT,2016,94610.0,7155,75.6,1524,16.1,3,1,53,1202,5,31,0,229.0,5062,53.5,12,0,935,70,962,1,33,3049.0,569,6,486,0,4,1,78,0
COUNTY TOTAL,GRANT,2017,95630.0,6166,64.5,1444,15.1,4,0,56,1148,5,26,0,205.0,4168,43.6,6,0,660,62,762,2,40,2636.0,554,5.8,458,0,6,2,88,0
COUNTY TOTAL,GRANT,2018,92450.0,5694,61.6,1203,13,0,0,73,920,6,28,0,176.0,4046,43.8,10,0,684,90,731,0,24,2507.0,445,4.8,365,0,8,0,65,7
COUNTY TOTAL,GRANT,2019,98740.0,4879,49.4,1183,12,0,0,80,918,3,33,0,149.0,3241,32.8,22,1,614,39,490,3,27,2045.0,455,4.6,350,0,4,1,92,8
COUNTY TOTAL,GRANT,2020,100130.0,5511,55.0,1244,12.4,4,0,61,924,2,27,0,226.0,3846,38.4,11,1,575,49,627,3,32,2548.0,421,4.2,330,0,2,0,79,10
COUNTY TOTAL,GRANT,2021,102400.0,5547,54.2,1323,12.9,7,3,64,1020,1,20,0,208.0,3988,38.9,20,0,568,33,681,2,33,2651.0,236,2.3,129,0,2,0,93,12
Ephrata Police Department,GRANT,2012,7750.0,709,91.5,146,18.83870968,1,0,21,97,0,6,0,21.0,497,64.12903226,1,1,96,3,66,0,6,324.0,66,8.516129032,64,0,0,0,2,0
Ephrata Police Department,GRANT,2013,7870.0,662,84.1,110,13.97712834,0,0,7,87,0,0,0,16.0,509,64.67598475,2,0,102,4,56,0,2,343.0,43,5.463786531,37,0,2,0,4,0
Ephrata Police Department,GRANT,2014,7930.0,552,69.6,110,13.87137453,1,0,5,86,0,2,0,16.0,407,51.32408575,0,0,49,2,22,0,6,328.0,35,4.413619168,33,0,0,0,2,0
Ephrata Police Department,GRANT,2015,7985.0,561,70.3,88,11.0206637,0,0,4,71,3,0,0,10.0,446,55.8547276,1,0,73,1,30,0,4,337.0,27,3.38134,24,0,0,0,3,0
Ephrata Police Department,GRANT,2016,8020.0,673,83.9,155,19.32668329,0,1,6,113,0,3,0,32.0,473,58.97755611,0,0,97,1,18,0,3,354.0,45,5.610972569,42,0,1,0,2,0
Ephrata Police Department,GRANT,2017,8005.0,692,86.4,160,19.98750781,0,0,7,127,0,3,0,23.0,481,60.08744535,0,0,95,3,7,0,4,372.0,51,6.371018114,37,0,2,0,12,0
Ephrata Police Department,GRANT,2018,8130.0,743,91.4,181,22.26322263,0,0,17,128,0,3,0,33.0,515,63.34563346,2,0,94,18,20,0,3,378.0,47,5.781057811,34,0,2,0,8,3
Ephrata Police Department,GRANT,2019,8180.0,708,86.6,152,18.58190709,0,0,10,103,0,14,0,25.0,490,59.90220049,2,0,107,8,24,2,1,346.0,66,8.068459658,49,0,1,0,15,1
Ephrata Police Department,GRANT,2020,8210.0,706,86.0,133,16.19975639,0,0,10,96,0,1,0,26.0,528,64.31181486,0,0,91,12,33,2,5,385.0,45,5.481120585,31,0,1,0,8,5
Ephrata Police Department,GRANT,2021,8345.0,758,90.8,141,16.89634512,0,0,10,106,0,4,0,21.0,586,70.22168963,2,0,116,4,38,1,5,420.0,31,3.714799281,16,0,1,0,7,7
Grand Coulee Police Department,GRANT,2012,2030.0,156,76.8,44,21.67487685,0,0,1,39,0,2,0,2.0,99,48.76847291,0,0,30,0,15,0,0,54.0,13,6.403940887,13,0,0,0,0,0
Grand Coulee Police Department,GRANT,2013,2055.0,119,57.9,31,15.08515815,0,0,1,28,0,0,0,2.0,86,41.84914842,1,0,24,1,14,0,1,45.0,2,0.97323601,0,0,0,0,2,0
Grand Coulee Police Department,GRANT,2014,2060.0,113,54.9,28,13.59223301,0,0,2,24,0,0,0,2.0,83,40.29126214,0,0,24,0,14,0,3,42.0,2,0.970873786,1,0,1,0,0,0
Grand Coulee Police Department,GRANT,2015,2060.0,143,69.4,47,22.815534,0,0,0,41,0,0,0,6.0,93,45.1456311,1,0,23,6,20,0,1,42.0,3,1.4563107,2,0,1,0,0,0
Grand Coulee Police Department,GRANT,2016,2055.0,219,106.6,38,18.49148418,0,0,0,34,0,0,0,4.0,175,85.15815085,0,0,58,1,14,0,1,101.0,6,2.919708029,6,0,0,0,0,0
Grand Coulee Police Department,GRANT,2017,2075.0,175,84.3,44,21.20481928,0,0,0,36,0,2,0,6.0,122,58.79518072,0,0,31,4,16,1,0,70.0,9,4.337349398,8,0,0,0,1,0
Grand Coulee Police Department,GRANT,2018,2085.0,140,67.1,35,16.78657074,0,0,0,31,1,1,0,2.0,93,44.60431655,0,0,31,0,13,0,0,49.0,12,5.755395683,11,0,0,0,1,0
Grand Coulee Police Department,GRANT,2019,2085.0,127,60.9,36,17.26618705,0,0,7,23,0,0,0,6.0,84,40.28776978,0,0,21,2,14,0,0,47.0,7,3.357314149,5,0,0,0,0,2
Grand Coulee Police Department,GRANT,2020,2085.0,133,63.8,38,18.22541966,0,0,3,27,0,4,0,4.0,86,41.2470024,0,0,26,0,23,0,0,37.0,9,4.316546763,7,0,0,0,1,1
Grand Coulee Police Department,GRANT,2021,2095.0,131,62.5,42,20.0477327,0,0,1,37,0,1,0,3.0,89,42.48210024,1,0,17,0,15,0,0,56.0,0,0,0,0,0,0,0,0
Grant County Sheriffs Office,GRANT,2012,41895.0,2569,61.3,582,13.89187254,3,0,41,429,5,10,0,94.0,1825,43.56128416,10,0,360,14,402,2,13,1024.0,162,3.866809882,139,0,1,0,22,0
Grant County Sheriffs Office,GRANT,2013,42660.0,2682,62.9,535,12.54102203,2,0,37,420,2,6,0,68.0,2036,47.72620722,10,0,436,15,453,1,10,1111.0,111,2.601969058,81,0,1,0,29,0
Grant County Sheriffs Office,GRANT,2014,43165.0,2439,56.5,573,13.27464381,1,0,23,478,7,9,0,55.0,1759,40.75060813,14,0,363,11,359,0,7,1005.0,107,2.478860188,88,0,0,0,19,0
Grant County Sheriffs Office,GRANT,2015,43535.0,2310,53.1,512,11.7606523,2,0,21,407,1,4,0,77.0,1718,39.4625014,18,0,413,14,365,0,6,902.0,80,1.8376019,65,0,0,0,15,0
Grant County Sheriffs Office,GRANT,2016,43820.0,2325,53.1,481,10.97672296,2,0,19,388,4,9,0,59.0,1723,39.31994523,7,0,365,8,328,0,8,1007.0,121,2.761296212,97,0,0,0,24,0
Grant County Sheriffs Office,GRANT,2017,44130.0,1912,43.3,445,10.08384319,2,0,19,368,0,5,0,51.0,1348,30.54611375,4,0,281,12,283,0,12,756.0,119,2.696578291,91,0,0,0,28,0
Grant County Sheriffs Office,GRANT,2018,44470.0,1614,36.3,369,8.297728806,0,0,36,282,2,4,0,45.0,1165,26.19743647,2,0,278,10,209,0,6,660.0,80,1.798965595,64,0,2,0,13,1
Grant County Sheriffs Office,GRANT,2019,44970.0,1686,37.5,471,10.4736491,0,0,52,352,2,6,0,59.0,1147,25.50589282,16,0,211,7,194,0,6,713.0,68,1.512119191,53,0,0,0,14,1
Grant County Sheriffs Office,GRANT,2020,45350.0,1970,43.4,479,10.56229327,4,0,31,354,1,12,0,77.0,1442,31.79713341,5,0,231,10,264,0,9,923.0,49,1.080485116,35,0,0,0,14,0
Grant County Sheriffs Office,GRANT,2021,46285.0,1659,35.8,424,9.160635195,4,3,29,318,0,8,0,62.0,1220,26.35843146,7,0,195,11,240,0,8,759.0,15,0.324079075,5,0,1,0,9,0
Mattawa Police Department,GRANT,2013,4540.0,95,20.9,22,4.845814978,0,0,1,19,1,0,0,1.0,64,14.0969163,0,0,9,0,8,0,0,47.0,9,1.982378855,8,0,0,0,1,0
Mattawa Police Department,GRANT,2014,4460.0,69,15.5,21,4.708520179,0,0,1,14,0,2,0,4.0,42,9.417040359,0,0,2,0,7,0,0,33.0,6,1.34529148,4,0,0,0,2,0
Mattawa Police Department,GRANT,2015,4535.0,60,13.2,23,5.0716648,0,0,3,16,0,2,0,2.0,33,7.2767365,0,0,4,0,4,0,1,24.0,4,0.8820287,4,0,0,0,0,0
Mattawa Police Department,GRANT,2016,4625.0,61,13.2,14,3.027027027,0,0,1,10,0,0,0,3.0,43,9.297297297,1,0,5,0,3,0,2,32.0,4,0.864864865,4,0,0,0,0,0
Mattawa Police Department,GRANT,2017,4805.0,96,20.0,16,3.329864724,0,0,2,12,0,0,0,2.0,77,16.02497399,0,0,16,1,11,0,1,48.0,3,0.624349636,2,0,0,0,1,0
Mattawa Police Department,GRANT,2019,4920.0,32,6.5,1,0.203252033,0,0,0,1,0,0,0,0.0,28,5.691056911,0,0,3,1,3,0,0,21.0,3,0.609756098,0,0,0,0,3,0
Mattawa Police Department,GRANT,2020,4955.0,69,13.9,20,4.036326942,0,0,0,20,0,0,0,0.0,42,8.476286579,0,0,2,0,11,1,0,28.0,7,1.41271443,6,0,0,0,1,0
Mattawa Police Department,GRANT,2021,5005.0,18,3.6,6,1.198801199,0,0,0,5,0,0,0,1.0,9,1.798201798,0,0,1,0,2,0,0,6.0,3,0.599400599,2,0,0,0,1,0
Moses Lake Police Department,GRANT,2012,20950.0,3004,143.4,550,26.25298329,1,0,19,442,0,4,0,84.0,2167,103.4367542,11,0,295,38,417,0,27,1379.0,287,13.69928401,233,0,2,0,52,0
Moses Lake Police Department,GRANT,2013,21250.0,3017,142.0,616,28.98823529,0,0,30,460,0,13,0,113.0,2179,102.5411765,4,0,328,66,350,3,28,1400.0,222,10.44705882,173,0,2,0,47,0
