Location,county,IndexYear,Population,Total,Rate,PrsnTotal,PrsnRate,Murder,Manslaughter,Forcible_Sex,Assault,Non_Forcible_Sex,Kidnapping_Abduction,Human_Trafficking,Viol_Of_No_Contact,PrprtyTotal,PrprtyRate,Arson,Bribery,Burglary,Counterfeiting_Forgery,Destruction_of_Property,Extortion_Blackmail,Robbery,Theft,SctyTotal,SctyRate,Drug_Violations,Gambling_Violations,Pornography,Prostitution,Weapon_Law_Violation,Animal_Cruelty
University Place Police Department,PIERCE,2018,32820.0,1486,45.3,307,9.354052407,3,0,27,229,1,4,0,43.0,1112,33.8817794,5,0,137,16,171,1,24,758.0,67,2.041438147,52,0,3,1,11,0
University Place Police Department,PIERCE,2019,33090.0,1522,46.0,315,9.519492294,0,0,35,222,1,6,0,51.0,1143,34.54215775,0,0,167,22,213,3,35,703.0,64,1.934119069,53,0,5,0,6,0
University Place Police Department,PIERCE,2020,33310.0,2036,61.1,312,9.36655659,1,0,17,231,1,3,0,59.0,1666,50.01501051,4,0,219,13,367,3,29,1031.0,58,1.741218853,46,0,3,2,7,0
University Place Police Department,PIERCE,2021,33730.0,1598,47.4,237,7.026386007,1,0,20,157,0,4,0,55.0,1351,40.05336496,2,0,149,4,390,3,19,784.0,10,0.296471983,3,0,0,0,7,0
COUNTY TOTAL,SAN JUAN,2012,15925.0,390,24.5,77,4.8,0,0,6,51,0,0,0,20.0,294,18.5,0,0,70,1,63,0,0,160.0,19,1.2,19,0,0,0,0,0
COUNTY TOTAL,SAN JUAN,2013,16000.0,363,22.7,86,5.4,0,0,5,65,1,1,0,14.0,266,16.6,2,0,69,0,32,0,2,161.0,11,0.7,11,0,0,0,0,0
COUNTY TOTAL,SAN JUAN,2014,16100.0,276,17.1,60,3.7,0,0,3,49,1,1,0,6.0,205,12.7,1,0,39,0,26,0,0,139.0,11,0.7,9,0,1,0,1,0
COUNTY TOTAL,SAN JUAN,2015,16180.0,359,22.2,74,4.6,0,0,3,62,2,0,0,7.0,274,16.9,1,0,53,1,28,0,0,191.0,11,0.7,7,0,1,0,3,0
COUNTY TOTAL,SAN JUAN,2016,16320.0,331,20.3,94,5.8,1,0,8,66,1,0,0,18.0,221,13.5,3,0,36,1,8,0,1,172.0,16,1,13,0,2,0,1,0
COUNTY TOTAL,SAN JUAN,2017,16510.0,322,19.5,94,5.7,0,0,10,67,1,1,0,15.0,209,12.7,1,0,29,4,14,0,0,161.0,19,1.2,16,0,2,0,1,0
COUNTY TOTAL,SAN JUAN,2018,16810.0,88,5.2,41,2.4,1,0,3,31,1,0,0,5.0,41,2.4,0,0,10,1,1,0,0,29.0,6,0.4,6,0,0,0,0,0
COUNTY TOTAL,SAN JUAN,2019,17150.0,229,13.4,53,3.1,0,0,1,40,0,0,0,12.0,153,8.9,0,0,21,6,16,1,0,109.0,23,1.3,21,0,0,0,1,1
COUNTY TOTAL,SAN JUAN,2020,17340.0,312,18.0,92,5.3,0,0,1,69,0,0,0,22.0,185,10.7,0,0,10,0,46,0,1,128.0,35,2,33,0,0,0,2,0
COUNTY TOTAL,SAN JUAN,2021,17500.0,276,15.8,68,3.9,0,0,1,54,0,1,0,12.0,187,10.7,0,0,22,1,39,5,0,120.0,21,1.2,18,0,0,0,2,1
San Juan County Sheriffs Office,SAN JUAN,2012,15925.0,390,24.5,77,4.835164835,0,0,6,51,0,0,0,20.0,294,18.46153846,0,0,70,1,63,0,0,160.0,19,1.193092622,19,0,0,0,0,0
San Juan County Sheriffs Office,SAN JUAN,2013,16000.0,363,22.7,86,5.375,0,0,5,65,1,1,0,14.0,266,16.625,2,0,69,0,32,0,2,161.0,11,0.6875,11,0,0,0,0,0
San Juan County Sheriffs Office,SAN JUAN,2014,16100.0,276,17.1,60,3.726708075,0,0,3,49,1,1,0,6.0,205,12.73291925,1,0,39,0,26,0,0,139.0,11,0.683229814,9,0,1,0,1,0
San Juan County Sheriffs Office,SAN JUAN,2015,16180.0,359,22.2,74,4.5735476,0,0,3,62,2,0,0,7.0,274,16.934487,1,0,53,1,28,0,0,191.0,11,0.6798517,7,0,1,0,3,0
San Juan County Sheriffs Office,SAN JUAN,2016,16320.0,331,20.3,94,5.759803922,1,0,8,66,1,0,0,18.0,221,13.54166667,3,0,36,1,8,0,1,172.0,16,0.980392157,13,0,2,0,1,0
San Juan County Sheriffs Office,SAN JUAN,2017,16510.0,322,19.5,94,5.693519079,0,0,10,67,1,1,0,15.0,209,12.65899455,1,0,29,4,14,0,0,161.0,19,1.150817686,16,0,2,0,1,0
San Juan County Sheriffs Office,SAN JUAN,2019,17150.0,229,13.4,53,3.090379009,0,0,1,40,0,0,0,12.0,153,8.921282799,0,0,21,6,16,1,0,109.0,23,1.341107872,21,0,0,0,1,1
San Juan County Sheriffs Office,SAN JUAN,2020,17340.0,312,18.0,92,5.305651672,0,0,1,69,0,0,0,22.0,185,10.66897347,0,0,10,0,46,0,1,128.0,35,2.018454441,33,0,0,0,2,0
San Juan County Sheriffs Office,SAN JUAN,2021,17500.0,276,15.8,68,3.885714286,0,0,1,54,0,1,0,12.0,187,10.68571429,0,0,22,1,39,5,0,120.0,21,1.2,18,0,0,0,2,1
San Juan Police Department,SAN JUAN,2018,16810.0,88,5.2,41,2.43902439,1,0,3,31,1,0,0,5.0,41,2.43902439,0,0,10,1,1,0,0,29.0,6,0.356930399,6,0,0,0,0,0
Anacortes Police Department,SKAGIT,2012,15960.0,1374,86.1,249,15.60150376,0,0,7,172,1,0,0,69.0,828,51.87969925,7,0,148,9,176,1,2,485.0,297,18.60902256,277,0,2,0,18,0
Anacortes Police Department,SKAGIT,2013,16080.0,1209,75.2,187,11.62935323,0,0,10,122,2,3,0,50.0,855,53.17164179,7,1,125,30,167,0,3,522.0,167,10.38557214,147,0,2,0,18,0
Anacortes Police Department,SKAGIT,2014,16190.0,1023,63.2,185,11.42680667,0,0,11,137,0,0,0,37.0,675,41.69240272,0,0,64,9,185,0,1,416.0,163,10.06794317,150,0,1,0,12,0
Anacortes Police Department,SKAGIT,2015,16310.0,1227,75.2,193,11.8332311,0,0,5,131,1,1,0,55.0,874,53.5867566,2,0,86,23,267,0,2,494.0,160,9.8099326,146,0,1,0,13,0
Anacortes Police Department,SKAGIT,2016,16580.0,1161,70.0,167,10.07237636,0,0,4,129,0,2,0,32.0,734,44.27020507,2,0,67,14,189,0,4,458.0,260,15.68154403,250,0,2,0,8,0
Anacortes Police Department,SKAGIT,2017,16780.0,1358,80.9,179,10.66746126,0,0,10,119,1,0,0,49.0,775,46.18593564,2,0,62,20,201,1,0,489.0,404,24.07628129,380,0,3,0,20,1
Anacortes Police Department,SKAGIT,2018,16990.0,1203,70.8,218,12.8310771,0,0,15,140,0,0,0,63.0,662,38.96409653,1,0,65,9,190,2,4,391.0,323,19.01118305,293,1,2,0,25,2
Anacortes Police Department,SKAGIT,2019,17610.0,1132,64.3,170,9.653605906,1,0,14,108,0,0,0,47.0,691,39.23906871,0,0,79,10,177,0,6,419.0,271,15.38898353,258,0,1,0,11,1
Anacortes Police Department,SKAGIT,2020,17830.0,1022,57.3,144,8.076275939,0,0,9,86,0,2,0,47.0,659,36.96017947,0,0,45,10,153,0,7,444.0,219,12.28266966,204,0,6,0,9,0
Anacortes Police Department,SKAGIT,2021,18050.0,870,48.2,121,6.703601108,0,0,6,92,0,0,0,23.0,681,37.72853186,3,0,67,11,190,0,4,406.0,68,3.767313019,52,0,6,0,9,1
Burlington Police Department,SKAGIT,2012,8435.0,1596,189.2,248,29.40130409,0,0,8,171,0,1,0,68.0,1208,143.2128038,1,0,108,1,234,0,11,853.0,140,16.59751037,131,0,0,0,9,0
Burlington Police Department,SKAGIT,2013,8445.0,1431,169.4,175,20.7223209,0,0,3,121,0,0,0,51.0,1094,129.5441089,2,0,74,8,218,0,7,785.0,162,19.18294849,146,0,0,2,14,0
Burlington Police Department,SKAGIT,2014,8445.0,1214,143.8,143,16.93309651,0,0,9,107,0,3,0,24.0,941,111.4268798,3,0,75,5,184,0,5,669.0,130,15.3937241,116,0,0,1,13,0
Burlington Police Department,SKAGIT,2015,8485.0,1973,232.5,183,21.567472,1,0,4,141,0,1,0,36.0,1547,182.3217443,2,0,106,27,433,0,12,967.0,243,28.6387743,222,0,0,0,21,0
Burlington Police Department,SKAGIT,2016,8675.0,2040,235.2,251,28.93371758,5,0,3,184,0,1,0,58.0,1471,169.5677233,0,0,104,49,302,0,12,1004.0,318,36.65706052,295,0,0,0,23,0
Burlington Police Department,SKAGIT,2017,8715.0,1446,165.9,148,16.98221457,1,0,5,105,0,0,0,37.0,1145,131.3826736,1,0,75,30,261,0,10,768.0,153,17.55593804,140,0,0,0,13,0
Burlington Police Department,SKAGIT,2018,9025.0,1426,158.0,190,21.05263158,0,0,4,144,0,0,0,42.0,1105,122.4376731,0,0,82,10,282,0,5,726.0,131,14.51523546,112,0,0,0,19,0
Burlington Police Department,SKAGIT,2019,9140.0,1302,142.5,179,19.58424508,1,0,9,130,0,1,0,38.0,958,104.8140044,2,0,58,6,216,0,6,670.0,165,18.05251641,142,0,0,0,23,0
Burlington Police Department,SKAGIT,2020,9270.0,1137,122.7,155,16.7206041,0,0,3,111,0,0,0,41.0,828,89.32038835,1,0,47,6,150,0,6,618.0,154,16.61272923,136,0,1,0,16,1
Burlington Police Department,SKAGIT,2021,9540.0,1637,171.6,222,23.27044025,0,0,4,150,0,3,0,65.0,1354,141.9287212,1,0,88,6,303,0,7,949.0,61,6.394129979,47,0,0,0,12,2
COUNTY TOTAL,SKAGIT,2012,117950.0,10859,92.1,2122,18,2,0,79,1582,7,9,0,443.0,7392,62.7,29,0,1257,57,1796,3,47,4203.0,1345,11.4,1173,0,10,7,155,0
COUNTY TOTAL,SKAGIT,2013,118600.0,10543,88.9,1959,16.5,5,2,66,1464,6,16,0,400.0,7453,62.8,27,2,1143,111,1590,1,64,4515.0,1131,9.5,961,0,5,4,161,0
COUNTY TOTAL,SKAGIT,2014,119500.0,9433,78.9,1820,15.2,3,0,100,1334,4,17,0,362.0,6501,54.4,20,0,982,59,1425,1,36,3978.0,1112,9.3,958,0,11,1,142,0
COUNTY TOTAL,SKAGIT,2015,120788.0,10678,88.4,1842,15.2,3,0,65,1364,6,20,0,384.0,7448,61.7,16,0,964,95,2030,4,50,4289.0,1388,11.5,1165,0,5,0,218,0
COUNTY TOTAL,SKAGIT,2016,122270.0,10336,84.5,1830,15,6,0,59,1325,3,16,0,421.0,6742,55.1,8,0,858,122,1653,5,55,4041.0,1764,14.4,1527,0,7,0,230,0
COUNTY TOTAL,SKAGIT,2017,124100.0,9919,79.9,1789,14.4,10,0,68,1251,2,12,0,446.0,6359,51.2,26,0,786,109,1676,2,49,3711.0,1771,14.3,1476,0,16,2,243,34
COUNTY TOTAL,SKAGIT,2018,126520.0,9009,71.2,1696,13.4,4,0,55,1202,0,8,0,427.0,5579,44.1,13,0,701,65,1394,4,47,3355.0,1734,13.7,1501,1,5,0,222,5
COUNTY TOTAL,SKAGIT,2019,129200.0,8498,65.8,1717,13.3,2,0,65,1228,0,2,0,420.0,5198,40.2,10,1,585,75,1216,1,43,3267.0,1583,12.3,1393,0,2,5,176,7
COUNTY TOTAL,SKAGIT,2020,130450.0,7968,61.1,1632,12.5,2,0,35,1105,2,11,0,477.0,5118,39.2,7,0,522,52,1211,2,36,3288.0,1218,9.3,1029,0,9,1,177,2
COUNTY TOTAL,SKAGIT,2021,131800.0,7977,60.5,1656,12.6,2,0,45,1155,4,9,0,441.0,5799,44,31,0,595,50,1536,3,52,3532.0,522,4,363,0,8,2,144,5
Mount Vernon Police Department,SKAGIT,2012,32250.0,3535,109.6,684,21.20930233,1,0,21,526,4,2,0,130.0,2387,74.01550388,10,0,317,23,692,0,22,1323.0,464,14.3875969,364,0,5,6,89,0
Mount Vernon Police Department,SKAGIT,2013,32710.0,3509,107.3,605,18.49587282,1,0,21,454,2,2,0,125.0,2384,72.88291042,7,0,257,51,517,1,31,1520.0,520,15.89727912,425,0,2,2,91,0
Mount Vernon Police Department,SKAGIT,2014,33170.0,3296,99.4,606,18.26952065,1,0,23,445,3,7,0,127.0,2121,63.94332228,7,0,224,21,447,0,21,1401.0,569,17.15405487,476,0,1,0,92,0
Mount Vernon Police Department,SKAGIT,2015,33530.0,3441,102.6,574,17.1189979,1,0,24,425,1,7,0,116.0,2159,64.3900984,8,0,205,22,602,0,27,1295.0,708,21.115419,556,0,1,0,151,0
Mount Vernon Police Department,SKAGIT,2016,33730.0,3445,102.1,587,17.40290543,0,0,21,411,0,9,0,146.0,2036,60.36169582,2,0,198,28,560,0,29,1219.0,822,24.36999704,668,0,3,0,151,0
